query_idx,K,jaccard,intersection
15,100,0.20481927710843373,34
16,5,0.25,2
16,10,0.42857142857142855,6
16,20,0.48148148148148145,13
16,50,0.4084507042253521,29
16,100,0.21951219512195122,36
17,5,0.1111111111111111,1
17,10,0.42857142857142855,6
17,20,0.42857142857142855,12
17,50,0.2987012987012987,23
17,100,0.16279069767441862,28
18,5,0.42857142857142855,3
18,10,0.3333333333333333,5
18,20,0.14285714285714285,5
18,50,0.16279069767441862,14
18,100,0.10497237569060773,19
19,5,0.42857142857142855,3
19,10,0.5384615384615384,7
19,20,0.48148148148148145,13
19,50,0.3333333333333333,25
19,100,0.1834319526627219,31
20,5,0.25,2
20,10,0.3333333333333333,5
20,20,0.25,8
20,50,0.2987012987012987,23
20,100,0.2987012987012987,46
21,5,0.25,2
21,10,0.5384615384615384,7
21,20,0.48148148148148145,13
21,50,0.3698630136986301,27
21,100,0.20481927710843373,34
22,5,0.42857142857142855,3
22,10,0.25,4
22,20,0.3333333333333333,10
22,50,0.3888888888888889,28
22,100,0.26582278481012656,42
23,5,0.25,2
23,10,0.17647058823529413,3
23,20,0.21212121212121213,7
23,50,0.20481927710843373,17
23,100,0.19760479041916168,33
24,5,0.1111111111111111,1
24,10,0.25,4
24,20,0.25,8
24,50,0.4084507042253521,29
24,100,0.5748031496062992,73
25,5,0.25,2
25,10,0.25,4
25,20,0.3793103448275862,11
25,50,0.3698630136986301,27
25,100,0.30718954248366015,47
26,5,0.1111111111111111,1
26,10,0.17647058823529413,3
26,20,0.42857142857142855,12
26,50,0.4925373134328358,33
26,100,0.28205128205128205,44
27,5,0.25,2
27,10,0.6666666666666666,8
27,20,0.6,15
27,50,0.5873015873015873,37
27,100,0.3698630136986301,54
28,5,0.42857142857142855,3
28,10,0.3333333333333333,5
28,20,0.3793103448275862,11
28,50,0.4492753623188406,31
28,100,0.21951219512195122,36
29,5,0.1111111111111111,1
29,10,0.1111111111111111,2
29,20,0.48148148148148145,13
29,50,0.28205128205128205,22
29,100,0.16279069767441862,28
30,5,0.42857142857142855,3
30,10,0.42857142857142855,6
30,20,0.48148148148148145,13
30,50,0.4925373134328358,33
30,100,0.2903225806451613,45
31,5,0.1111111111111111,1
31,10,0.5384615384615384,7
31,20,0.6,15
31,50,0.3698630136986301,27
31,100,0.1695906432748538,29
32,5,0.42857142857142855,3
32,10,0.17647058823529413,3
32,20,0.08108108108108109,3
32,50,0.041666666666666664,4
32,100,0.041666666666666664,8
33,5,0.25,2
33,10,0.25,4
33,20,0.3793103448275862,11
33,50,0.3157894736842105,24
33,100,0.2578616352201258,41
34,5,0.25,2
34,10,0.25,4
34,20,0.3793103448275862,11
34,50,0.3698630136986301,27
34,100,0.16279069767441862,28
35,5,0.1111111111111111,1
35,10,0.42857142857142855,6
35,20,0.3333333333333333,10
35,50,0.47058823529411764,32
35,100,0.2987012987012987,46
36,5,0.1111111111111111,1
36,10,0.3333333333333333,5
36,20,0.2903225806451613,9
36,50,0.2987012987012987,23
36,100,0.2422360248447205,39
37,5,0.1111111111111111,1
37,10,0.1111111111111111,2
37,20,0.17647058823529413,6
37,50,0.5625,36
37,100,0.4084507042253521,58
38,5,0.42857142857142855,3
38,10,0.3333333333333333,5
38,20,0.3333333333333333,10
38,50,0.3698630136986301,27
38,100,0.28205128205128205,44
39,5,0.25,2
39,10,0.42857142857142855,6
39,20,0.6,15
39,50,0.5625,36
39,100,0.3157894736842105,48
40,5,0.42857142857142855,3
40,10,0.8181818181818182,9
40,20,0.5384615384615384,14
40,50,0.4084507042253521,29
40,100,0.3157894736842105,48
41,5,0.42857142857142855,3
41,10,0.3333333333333333,5
41,20,0.42857142857142855,12
41,50,0.5151515151515151,34
41,100,0.27388535031847133,43
42,5,0.1111111111111111,1
42,10,0.25,4
42,20,0.3333333333333333,10
42,50,0.5384615384615384,35
42,100,0.3157894736842105,48
43,5,0.25,2
43,10,0.5384615384615384,7
43,20,0.3793103448275862,11
43,50,0.3157894736842105,24
43,100,0.25,40
44,5,0.42857142857142855,3
44,10,0.6666666666666666,8
44,20,0.48148148148148145,13
44,50,0.47058823529411764,32
44,100,0.36054421768707484,53
45,5,0.25,2
45,10,0.6666666666666666,8
45,20,0.48148148148148145,13
45,50,0.4492753623188406,31
45,100,0.2903225806451613,45
46,5,0.25,2
46,10,0.3333333333333333,5
46,20,0.3793103448275862,11
46,50,0.2987012987012987,23
46,100,0.21951219512195122,36
47,5,0.25,2
47,10,0.5384615384615384,7
47,20,0.42857142857142855,12
47,50,0.35135135135135137,26
47,100,0.1695906432748538,29
48,5,0.25,2
48,10,0.25,4
48,20,0.5384615384615384,14
48,50,0.4925373134328358,33
48,100,0.30718954248366015,47
49,5,0.25,2
49,10,0.3333333333333333,5
49,20,0.3333333333333333,10
49,50,0.3333333333333333,25
49,100,0.27388535031847133,43
50,5,0.25,2
50,10,0.42857142857142855,6
50,20,0.42857142857142855,12
50,50,0.4492753623188406,31
50,100,0.42857142857142855,60
51,5,0.42857142857142855,3
51,10,0.3333333333333333,5
51,20,0.2903225806451613,9
51,50,0.2987012987012987,23
51,100,0.25,40
52,5,0.6666666666666666,4
52,10,0.3333333333333333,5
52,20,0.5384615384615384,14
52,50,0.35135135135135137,26
52,100,0.21212121212121213,35
53,5,0.25,2
53,10,0.8181818181818182,9
53,20,0.9047619047619048,19
53,50,0.4084507042253521,29
53,100,0.20481927710843373,34
54,5,0.1111111111111111,1
54,10,0.25,4
54,20,0.21212121212121213,7
54,50,0.20481927710843373,17
54,100,0.26582278481012656,42
55,5,0.1111111111111111,1
55,10,0.3333333333333333,5
55,20,0.3793103448275862,11
55,50,0.20481927710843373,17
55,100,0.14942528735632185,26
56,5,0.42857142857142855,3
56,10,0.3333333333333333,5
56,20,0.5384615384615384,14
56,50,0.42857142857142855,30
56,100,0.2903225806451613,45
57,5,0.1111111111111111,1
57,10,0.3333333333333333,5
57,20,0.25,8
57,50,0.25,20
57,100,0.19047619047619047,32
58,5,0.6666666666666666,4
58,10,0.5384615384615384,7
58,20,0.48148148148148145,13
58,50,0.7241379310344828,42
58,100,0.3157894736842105,48
59,5,0.1111111111111111,1
59,10,0.1111111111111111,2
