query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,pointbiserial_r,pointbiserial_p
96,6000,-0.09238825490901319,7.488205795648458e-13,-0.3662644354691153,6.914260610353952e-190,-0.07536861712021566,7.289406766355529e-13,0.19755213038197483,7.354101299471188e-54
97,6000,-0.10076834520023996,5.126168563550571e-15,-0.30798704514655834,5.247864833816344e-132,-0.08113263984429564,4.8696532939452385e-15,0.1385237939041545,4.2892282720641445e-27
98,6000,-0.2981797015835224,1.8212047830127287e-123,-0.5127719116526779,0.0,-0.24159422940536943,2.240186004042865e-120,0.116460169281625,1.431059510314715e-19
99,6000,-0.07510368668293876,5.727645690098391e-09,-0.28532113214059296,9.149876199923177e-113,-0.06111052617556427,5.270193437374152e-09,0.1650395530038901,6.675671769263702e-38
100,6000,-0.2252676992378282,6.752079554891471e-70,-0.4529473060434952,1.9651122544473365e-301,-0.18325400209123732,9.865423321388118e-69,0.16631995782118103,1.7905461732302305e-38
101,6000,-0.22244217858022758,3.710414677584987e-68,-0.41777922731384914,3.663108025428232e-252,-0.17633290439677032,2.6631288480739315e-68,0.08685090446468903,1.5972589453376607e-11
102,6000,-0.1360118892675252,3.594354016010641e-26,-0.3221199857289538,6.652041457639893e-145,-0.11050595529896472,4.153903796449424e-26,0.19826217126425283,3.048014393752285e-54
103,6000,-0.11926544714184327,1.8712938408948844e-20,-0.27084758871777037,2.2270457180307686e-101,-0.0925241820042559,1.191628459429775e-20,0.07450378145848413,7.565367190107289e-09
104,6000,-0.22141333267770383,1.5740153269975894e-67,-0.453183128599255,8.769233488723515e-302,-0.17941137040543334,4.1182593666285124e-67,0.11146075547485954,4.763130206863408e-18
105,4140,-0.1134389496319731,2.471976282232584e-13,-0.4233661569279449,9.567683108819214e-180,-0.09216323303022628,2.3644730245169126e-13,0.18952470211315614,8.777914105007831e-35
106,4000,-0.20795409829051975,2.5201068566834663e-40,-0.3879293100457355,8.323764760192544e-144,-0.16737288716474288,2.5933009758527002e-40,0.12469477457572535,2.475851802685893e-15
107,4000,0.009549787355588491,0.54597224419122,0.02124959299571985,0.17905385192893697,0.0077415652156037846,0.5459175009315119,-0.003472428340417215,0.8262234475616966
108,4000,-0.27752451735860684,1.191025384916763e-71,-0.41240908882451593,4.337562345646313e-164,-0.2250347309639778,6.513606134356403e-70,0.1767286633209357,2.0082385755360735e-29
109,4000,-0.24861362374567877,2.062119387113782e-57,-0.481796143256466,1.2902761276456322e-231,-0.20204572529429582,3.973652119051003e-57,0.14562725628111678,2.1068285681546817e-20
110,4000,-0.2726008126153489,4.2429973046131534e-69,-0.3890678315786923,1.0340409205229664e-144,-0.21946186475076981,1.6220105354332757e-67,0.14616027844834711,1.5279807838954584e-20
111,4000,-0.23919061364465588,3.7498734084467693e-53,-0.3756522672741742,2.897519807188746e-134,-0.19446082238133586,3.548420252421644e-52,0.23121597432106433,1.0867211020374174e-49
112,4000,-0.13545089879043798,7.720917573782273e-18,-0.34025472644888866,5.611364553375298e-109,-0.10945117593920209,8.938560985966231e-18,0.17326574438659073,2.49301070021124e-28
