query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
150,4000,-0.15340574760512574,1.7216800737874509e-22,-0.5842239836717937,0.0
151,4000,-0.26457030552277117,4.751354597473367e-65,-0.4183640974696635,2.756510764668225e-169
152,4000,-0.23548469552150522,1.5815491406794627e-51,-0.3305249848695032,1.3994743918286059e-102
153,4000,-0.2353304657516874,1.8454533254298183e-51,-0.5816021842138759,0.0
154,4000,-0.22834838449384995,1.7756464103517154e-48,-0.43741932115233473,1.225884137568394e-186
155,4000,-0.3030851240060072,9.231049576472357e-86,-0.5193649861938614,2.997689979402022e-275
156,4000,-0.22168383958916993,1.0111618486178344e-45,-0.44498385381582545,7.67827621342705e-194
157,4000,-0.2558626931984517,8.153200123154258e-61,-0.3698408984306672,6.868427118590578e-130
158,4000,-0.27325315970599856,1.9616558671142157e-69,-0.51320338839496,1.03004797895988e-267
159,4000,-0.13088216210448653,9.497931671024295e-17,-0.44885772463826834,1.3338130463130048e-197
160,4000,-0.23855693606561085,7.143097117516862e-53,-0.3874054101300537,2.1672947929240462e-143
161,4000,-0.24095589017309543,6.166023221000197e-54,-0.42853831062355385,2.0637953087017744e-178
162,4000,-0.12190099229862696,1.0247114656963358e-14,-0.2987983049723388,2.719374334290468e-83
163,4000,-0.14187042240582495,1.959683447674115e-19,-0.3784881382098403,1.9694732393572436e-136
164,4000,-0.14431196026681928,4.6308871823215056e-20,-0.5217004714173145,3.797582922501462e-278
165,4000,-0.3306840405498346,1.104714399817428e-102,-0.48506769997492594,3.342830950257478e-235
166,4000,-0.13882438970456001,1.1444056146475657e-18,-0.3176528266779352,1.807423434683431e-94
167,4000,-0.11851242961828663,5.4963217079718075e-14,-0.36077924676046286,3.024658858382742e-123
168,4000,-0.2237942863632172,1.3865476959387992e-46,-0.3146438754375071,1.2482641196666162e-92
169,4000,-0.09522550294193759,1.5953087768635374e-09,-0.3387262591716602,5.879693008741295e-108
170,4000,-0.06269815873761997,7.246477695355163e-05,-0.28494393036991383,1.3500104731190954e-75
